"","Year","Team","sbWL","O.yardsperplay","O.completionpercentage","O.passingattemptspergame","O.passingtouchdownspergame","O.passingyardsperattempt","O.rushingattemptspergame","O.rushingyardsperattempt","O.rushingtouchdownspergame","O.penaltyyardspergame","fieldgoalpercentage","D.yardsperplay","D.completionpercentage","D.passingtouchdownspergame","D.passingyardsperattempt","D.rushingyardsperattempt","D.rushingtouchdownspergame","regularseasonwinpercentage","turnovermargin","pointdifferential","numberofpostseasongames"
"25",1993,"Dallas Cowboys",1,5.64667788057191,0.667368421052632,29.6875,1.125,7.27157894736842,30.625,4.41020408163265,1.25,45.3684210526316,0.837209302325581,4.74476268412439,0.601801801801802,0.875,5.61441441441441,3.36938775510204,0.4375,0.75,6,191,3
"26",1992,"Dallas Cowboys",1,5.6139188069594,0.639511201629328,30.6875,1.4375,7.09775967413442,31.25,4.242,1.25,39.8947368421053,0.7,4.63118483412322,0.543388429752066,1,5.55165289256198,2.488,0.6875,0.813,7,235,3
"27",1991,"Washington Redskins",1,5.7197489539749,0.583892617449664,27.9375,1.875,8.25950782997763,33.75,3.79444444444444,1.3125,49.9473684210526,0.69811320754717,4.43832020997375,0.532846715328467,0.8125,5.37773722627737,2.49259259259259,0.6875,0.875,18,322,3
"28",1990,"New York Giants",1,4.91920135938827,0.580402010050251,24.875,1.125,6.92462311557789,33.8125,3.78743068391867,1.0625,39.2631578947368,0.783783783783784,4.74976481655691,0.560483870967742,0.75,5.5383064516129,2.69685767097967,0.5625,0.813,20,155,3
"29",1989,"San Francisco 49ers",1,6.14862012987013,0.701863354037267,30.1875,2.1875,8.90683229813665,30.8125,3.98782961460446,0.875,55.7894736842105,0.761904761904762,4.60328435609334,0.560283687943262,0.9375,5.73581560283688,2.8052738336714,0.5625,0.875,12,289,3
"30",1988,"San Francisco 49ers",1,5.6060534591195,0.583665338645418,31.375,1.3125,6.72709163346614,32.9375,4.78747628083491,1.125,56.7368421052632,0.674418604651163,4.41116625310174,0.550943396226415,1.5625,5.63584905660377,3.01328273244782,0.5,0.625,12,129,3
"31",1987,"Washington Redskins",1,5.64473244147157,0.51673640167364,31.8666666666667,1.8,7.31171548117155,33.3333333333333,4.204,1.2,44.1111111111111,0.575757575757576,4.8501647446458,0.523719165085389,1.26666666666667,6.34345351043643,3.358,0.666666666666667,0.733,-3,137,3
"32",1986,"New York Giants",1,5.00939968404423,0.550847457627119,29.5,1.375,6.63771186440678,34.875,4.02329749103943,1.125,45.1052631578947,0.717948717948718,4.63223905723906,0.568994889267462,0.9375,5.91652470187393,2.3010752688172,0.625,0.875,11,217,3
"33",1985,"Chicago Bears",1,5.31460761460761,0.548611111111111,27,1.0625,7.12037037037037,38.125,4.52622950819672,1.6875,53.6842105263158,0.795454545454545,4.10152603231598,0.477011494252874,1,5.39463601532567,2.16229508196721,0.375,0.938,23,339,3
"34",1984,"San Francisco 49ers",1,6.05971675845791,0.629032258064516,31,2,7.86491935483871,33.375,4.61610486891386,1.3125,49.6315789473684,0.707317073170732,4.82593495934959,0.545787545787546,0.875,6.19230769230769,3.36142322097378,0.625,0.938,16,304,3
"35",1983,"Los Angeles Raiders",1,5.29215987701768,0.597222222222222,31.5,1.9375,6.83730158730159,33.875,4.13284132841328,1.125,58.7368421052632,0.8125,4.53560295324036,0.531073446327684,1.25,5.95480225988701,2.92619926199262,0.8125,0.75,-13,177,3
"36",1982,"Washington Redskins",1,5.11653179190751,0.640316205533597,28.1111111111111,1.44444444444444,7.29249011857708,35,3.61904761904762,0.555555555555556,39.2307692307692,0.827586206896552,4.76751269035533,0.530909090909091,0.888888888888889,5.86909090909091,3.0031746031746,0.888888888888889,0.889,8,124,4
"37",1981,"San Francisco 49ers",1,5.03453292496172,0.634429400386847,32.3125,1.25,6.85299806576402,35,3.46607142857143,1.0625,56.2105263157895,0.685714285714286,4.770367278798,0.531128404669261,1,5.53501945525292,3.425,0.625,0.813,23,127,3
"38",1980,"Oakland Raiders",1,4.81249036237471,0.515350877192982,28.5,1.4375,6.35745614035088,33.8125,3.96672828096118,0.875,57.5,0.568181818181818,4.712,0.564885496183206,1.0625,6.3206106870229,3.19038817005545,1.1875,0.688,8,104,4
"39",1979,"Pittsburgh Steelers",1,5.77646598905395,0.552845528455285,30.75,1.625,7.42886178861789,35.0625,4.63992869875223,1.5625,52.9473684210526,0.617647058823529,4.16763005780347,0.470833333333333,1.1875,5.33541666666667,3.04634581105169,0.5625,0.75,-10,200,3
"40",1978,"Pittsburgh Steelers",1,4.96933010492333,0.557894736842105,23.75,1.75,7.10263157894737,40.0625,3.58346333853354,1,58.0526315789474,0.484848484848485,4.12744265080714,0.5,0.625,5.41628959276018,2.76755070202808,0.6875,0.875,9,217,3
